,id,building_type,building_subtype,price,living_area,frontages,bedrooms,bathrooms,liv_room_surf,kitchen_type,showers,toilets,basement,terrace,garden,elevator,swimming_pool,status_build,furnished,energy_class,heating,flood_zone,surroundings,zipcode,municipality,group_zipcode,province,price_per_m2
1652,10560962,apartment,flat-studio,395000.0,48.0,,,1.0,22.0,2.0,1.0,1.0,1.0,32.0,0.0,1.0,0.0,3.0,0.0,6.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,8229.166666666666
2236,9899433,apartment,apartment,595000.0,99.0,2.0,1.0,1.0,,,1.0,2.0,,9.0,0.0,1.0,,,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,6010.10101010101
3301,10427382,apartment,apartment-block,620000.0,315.0,3.0,7.0,5.0,,,2.0,4.0,,14.0,0.0,0.0,1.0,1.0,0.0,5.0,,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,1968.2539682539682
2225,10011499,apartment,duplex,460000.0,147.0,2.0,3.0,1.0,56.0,3.0,1.0,2.0,,52.0,0.0,1.0,,,,5.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3129.2517006802723
3315,10393289,apartment,apartment-block,670000.0,234.0,2.0,5.0,3.0,,1.0,3.0,3.0,,0.0,30.0,,,0.0,0.0,3.0,,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,2863.2478632478633
2216,10467827,apartment,apartment,400000.0,87.0,2.0,2.0,1.0,30.0,3.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,6.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,4597.701149425287
1237,10522169,apartment,apartment-block,450000.0,200.0,2.0,4.0,2.0,35.0,0.0,3.0,3.0,1.0,7.0,15.0,0.0,0.0,1.0,0.0,1.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,2250.0
3321,10559843,apartment,apartment,268000.0,65.0,3.0,1.0,1.0,25.0,2.0,,1.0,1.0,3.0,0.0,1.0,,1.0,,1.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4123.076923076923
6480,10561426,apartment,apartment,415000.0,90.0,4.0,2.0,1.0,,3.0,1.0,1.0,,14.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,4611.111111111111
4831,9520493,other-property,mixed-use-building,3200000.0,1038.0,2.0,,,,1.0,,8.0,,0.0,12.0,0.0,0.0,2.0,0.0,1.0,Fuel oil,,,1000,Bruxelles,1000,Brussels Capital Region,3082.8516377649325
2153,10537458,apartment,flat-studio,295000.0,52.0,2.0,,1.0,19.0,,,1.0,,0.0,0.0,1.0,0.0,3.0,1.0,5.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,5673.076923076923
1212,10522168,other-property,mixed-use-building,625000.0,174.0,2.0,3.0,2.0,20.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3591.9540229885056
3386,10326532,other-property,mixed-use-building,1299000.0,526.0,3.0,5.0,2.0,,3.0,2.0,2.0,,9.0,0.0,0.0,0.0,2.0,0.0,2.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,2469.5817490494296
4783,10553687,apartment,apartment,350000.0,92.0,3.0,2.0,1.0,27.0,3.0,1.0,1.0,1.0,24.0,0.0,1.0,0.0,2.0,0.0,4.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3804.3478260869565
370,10565158,house,house,280000.0,75.0,2.0,4.0,4.0,,1.0,,4.0,1.0,0.0,0.0,,,1.0,0.0,4.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3733.3333333333335
369,10467828,apartment,apartment,600000.0,117.0,2.0,3.0,1.0,33.0,3.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,5128.205128205128
3396,10538487,apartment,loft,550000.0,230.0,2.0,2.0,2.0,,3.0,,2.0,,13.0,0.0,1.0,0.0,3.0,,5.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2391.304347826087
4763,9201553,apartment,apartment,489000.0,65.0,,1.0,1.0,30.0,3.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,7523.076923076923
1297,9402335,other-property,mixed-use-building,1200000.0,568.0,2.0,3.0,3.0,,1.0,,5.0,1.0,0.0,0.0,,,3.0,,1.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2112.676056338028
2113,10535919,apartment,apartment,590000.0,117.0,,2.0,1.0,37.0,3.0,,,,0.0,0.0,1.0,,3.0,,4.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,5042.735042735043
361,10476012,apartment,penthouse,1495000.0,192.0,4.0,3.0,2.0,,3.0,1.0,2.0,1.0,122.0,0.0,1.0,0.0,3.0,0.0,6.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,7786.458333333333
360,9910183,apartment,apartment,540000.0,132.0,,3.0,2.0,,3.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,4090.909090909091
356,9908113,apartment,apartment,525000.0,132.0,,3.0,2.0,,3.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3977.2727272727275
2130,10427707,apartment,apartment,172500.0,72.0,2.0,2.0,1.0,30.0,2.0,1.0,1.0,,0.0,0.0,,,1.0,0.0,3.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,2395.8333333333335
355,9910182,apartment,apartment,515000.0,132.0,,3.0,2.0,,3.0,2.0,2.0,1.0,15.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3901.5151515151515
4994,10512483,apartment,apartment,229000.0,58.0,,1.0,2.0,,1.0,2.0,2.0,,0.0,0.0,,,2.0,,4.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3948.2758620689656
3238,10433751,house,house,420000.0,102.0,2.0,2.0,1.0,35.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,4117.64705882353
6287,10493906,apartment,loft,525000.0,160.0,3.0,2.0,2.0,58.0,3.0,1.0,2.0,,25.0,0.0,1.0,0.0,3.0,0.0,5.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3281.25
6288,10066049,apartment,apartment,500000.0,79.0,2.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,6329.113924050633
6291,10336522,apartment,apartment,525000.0,120.0,3.0,2.0,1.0,,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,Fuel oil,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4375.0
7747,9389469,house,house,1950000.0,300.0,2.0,4.0,3.0,50.0,0.0,3.0,5.0,1.0,30.0,50.0,0.0,0.0,1.0,,1.0,,,,1000,Bruxelles,1000,Brussels Capital Region,6500.0
5099,10474367,apartment,penthouse,450000.0,91.0,2.0,2.0,2.0,16.0,3.0,,2.0,1.0,5.0,0.0,1.0,0.0,3.0,1.0,3.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4945.054945054945
6294,10326267,apartment,apartment,535000.0,140.0,2.0,2.0,2.0,50.0,3.0,2.0,2.0,1.0,12.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3821.4285714285716
8657,10547950,other-property,mixed-use-building,485000.0,200.0,2.0,2.0,1.0,,3.0,1.0,2.0,1.0,0.0,0.0,,,0.0,,2.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2425.0
6297,10537262,apartment,apartment,559000.0,102.0,2.0,2.0,2.0,,3.0,,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,5480.392156862745
5094,10226183,apartment,duplex,425000.0,110.0,2.0,2.0,3.0,26.0,2.0,,3.0,,30.0,0.0,1.0,0.0,2.0,0.0,1.0,Electric,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3863.6363636363635
6307,9805695,apartment,duplex,595000.0,180.0,4.0,3.0,1.0,75.0,3.0,1.0,2.0,,70.0,0.0,1.0,,3.0,,5.0,Fuel oil,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,3305.5555555555557
6359,10195428,apartment,apartment,1850000.0,500.0,3.0,4.0,4.0,1.0,1.0,,1.0,,1.0,0.0,1.0,1.0,3.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3700.0
7730,9963351,other-property,mixed-use-building,1350000.0,300.0,2.0,6.0,3.0,,1.0,,5.0,,50.0,0.0,,,,,1.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4500.0
6323,10124208,apartment,penthouse,795000.0,185.0,2.0,2.0,2.0,76.0,1.0,2.0,2.0,1.0,90.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4297.2972972972975
8690,10541299,apartment,apartment,475000.0,135.0,2.0,3.0,2.0,30.0,3.0,1.0,2.0,1.0,17.0,17.0,0.0,0.0,3.0,0.0,3.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,3518.5185185185187
5045,10395113,apartment,apartment,310000.0,90.0,2.0,2.0,1.0,30.0,1.0,,1.0,1.0,4.0,0.0,1.0,,,,2.0,Gas,Non flood zone,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,3444.4444444444443
6333,10498296,apartment,penthouse,995000.0,230.0,2.0,2.0,2.0,,3.0,3.0,3.0,1.0,90.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,4326.086956521739
5041,10321205,apartment,apartment,300000.0,96.0,2.0,2.0,1.0,23.0,1.0,,1.0,,9.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3125.0
6337,10473590,apartment,apartment,1150000.0,232.0,2.0,3.0,3.0,70.0,3.0,3.0,3.0,,0.0,0.0,1.0,0.0,2.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,4956.896551724138
6345,9661740,apartment,apartment,1350000.0,300.0,2.0,4.0,3.0,,3.0,,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,4500.0
5018,10432325,apartment,apartment,275000.0,84.0,2.0,1.0,1.0,,1.0,,1.0,,0.0,0.0,1.0,0.0,2.0,0.0,4.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3273.809523809524
5014,9729177,apartment,apartment,265000.0,90.0,2.0,2.0,1.0,27.0,3.0,,1.0,1.0,0.0,0.0,1.0,,3.0,0.0,3.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,2944.4444444444443
452,10376761,apartment,flat-studio,185000.0,37.0,2.0,1.0,1.0,21.0,1.0,1.0,1.0,,3.0,0.0,1.0,0.0,2.0,1.0,2.0,Electric,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,5000.0
7729,10498489,house,villa,1275000.0,550.0,4.0,6.0,5.0,75.0,1.0,,5.0,,80.0,1100.0,0.0,0.0,2.0,0.0,3.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,2318.181818181818
5123,10479846,apartment,apartment,525000.0,130.0,2.0,3.0,2.0,36.0,3.0,,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,4038.4615384615386
2094,10526679,apartment,apartment,150000.0,72.0,2.0,2.0,1.0,30.0,2.0,1.0,1.0,,0.0,0.0,,,1.0,0.0,3.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,2083.3333333333335
339,10516377,apartment,apartment,365000.0,71.0,2.0,1.0,1.0,,3.0,1.0,1.0,,0.0,0.0,1.0,0.0,3.0,,6.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,5140.845070422535
3547,9422364,apartment,triplex,340000.0,150.0,2.0,4.0,2.0,36.0,3.0,,2.0,,11.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,2266.6666666666665
1938,10558725,apartment,apartment,345000.0,56.0,,1.0,,,3.0,,1.0,,0.0,0.0,,,3.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,6160.714285714285
3551,10503299,apartment,apartment,345000.0,53.0,2.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,6509.433962264151
6734,10365024,apartment,apartment,279000.0,70.0,2.0,1.0,1.0,27.0,,1.0,1.0,,0.0,0.0,1.0,0.0,2.0,,2.0,,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3985.714285714286
6740,10503297,apartment,flat-studio,325000.0,58.0,2.0,,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,5603.448275862069
6744,10503300,apartment,flat-studio,345000.0,58.0,2.0,,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,3.0,0.0,3.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,5948.275862068966
1439,10384121,apartment,flat-studio,310000.0,43.0,2.0,,,,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,7209.302325581395
3558,10477810,apartment,ground-floor,369000.0,100.0,2.0,2.0,1.0,40.0,3.0,,2.0,1.0,40.0,0.0,1.0,0.0,3.0,0.0,3.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3690.0
1445,10070305,apartment,flat-studio,385000.0,55.0,2.0,,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,7000.0
1450,10388124,apartment,apartment,410000.0,128.0,4.0,3.0,2.0,18.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3203.125
1426,10406991,apartment,apartment,295000.0,86.0,2.0,2.0,1.0,33.0,1.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,3.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3430.232558139535
1451,10138964,apartment,apartment,405000.0,83.0,2.0,1.0,1.0,,3.0,,1.0,,0.0,0.0,1.0,,3.0,1.0,6.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,4879.518072289156
1454,10522044,apartment,apartment,420000.0,131.0,4.0,3.0,2.0,19.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3206.1068702290077
1907,10544524,apartment,apartment,397000.0,105.0,,2.0,1.0,44.0,2.0,,1.0,,0.0,0.0,1.0,,2.0,,3.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3780.9523809523807
1456,10487213,apartment,apartment,410000.0,112.0,4.0,2.0,1.0,,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3660.714285714286
1457,10494531,apartment,apartment,420000.0,113.0,2.0,2.0,,,0.0,,1.0,,11.0,0.0,,,3.0,0.0,6.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,3716.8141592920356
3597,10478479,apartment,apartment,635000.0,108.0,2.0,3.0,2.0,37.0,1.0,,2.0,1.0,10.0,0.0,1.0,,,1.0,5.0,Gas,Possible flood zone,,1000,Bruxelles,1000,Brussels Capital Region,5879.62962962963
1464,10402670,apartment,apartment,480000.0,102.0,,2.0,1.0,,3.0,,2.0,1.0,12.0,0.0,1.0,,2.0,,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,4705.882352941177
1466,10494555,apartment,apartment,495000.0,127.0,2.0,2.0,2.0,36.0,0.0,,2.0,,12.0,0.0,,,3.0,0.0,5.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,3897.6377952755906
1467,10066048,apartment,apartment,490000.0,73.0,2.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,6712.328767123287
6852,10304002,house,house,495000.0,166.0,2.0,4.0,2.0,,,,3.0,,21.0,15.0,,,3.0,0.0,6.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2981.9277108433735
218,10541571,apartment,apartment,450000.0,97.0,3.0,2.0,1.0,44.0,3.0,1.0,1.0,,6.0,0.0,1.0,0.0,3.0,,6.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,4639.1752577319585
3591,9543345,apartment,apartment,580000.0,132.0,4.0,3.0,2.0,,1.0,1.0,2.0,,15.0,0.0,1.0,,,0.0,6.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,4393.939393939394
348,10514865,apartment,penthouse,990000.0,217.0,4.0,2.0,2.0,,3.0,2.0,2.0,1.0,36.0,0.0,1.0,0.0,3.0,0.0,7.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,4562.21198156682
3545,10509409,apartment,apartment,330000.0,105.0,2.0,2.0,1.0,25.0,,1.0,1.0,1.0,16.0,0.0,,,2.0,,1.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3142.8571428571427
267,10549792,apartment,triplex,675000.0,175.0,2.0,3.0,2.0,60.0,3.0,,2.0,1.0,13.0,0.0,,,3.0,,5.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,3857.1428571428573
1329,10478481,apartment,flat-studio,149000.0,34.0,2.0,,1.0,25.0,1.0,,1.0,,0.0,0.0,1.0,,2.0,1.0,3.0,Electric,Recognized flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4382.35294117647
2048,10488148,apartment,apartment-block,849000.0,230.0,2.0,5.0,4.0,,3.0,1.0,5.0,,20.0,0.0,,,3.0,1.0,4.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3691.304347826087
1350,10535893,apartment,apartment,199000.0,65.0,2.0,1.0,1.0,,2.0,,1.0,,2.0,0.0,1.0,,2.0,,3.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,3061.5384615384614
1362,10373041,apartment,apartment,215000.0,84.0,2.0,2.0,1.0,25.0,1.0,1.0,1.0,,15.0,0.0,1.0,0.0,2.0,0.0,4.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,2559.5238095238096
1371,10492584,apartment,apartment,215000.0,82.0,2.0,2.0,1.0,,2.0,,1.0,,0.0,0.0,,,0.0,0.0,3.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,2621.951219512195
3475,10558748,apartment,apartment-block,690000.0,353.0,2.0,3.0,3.0,40.0,1.0,1.0,2.0,1.0,0.0,35.0,,0.0,2.0,0.0,4.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,1954.6742209631727
6659,10512585,apartment,apartment,150000.0,37.0,,1.0,1.0,,1.0,,,,15.0,0.0,,,0.0,,1.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4054.054054054054
1383,10511951,apartment,apartment,245000.0,75.0,2.0,1.0,1.0,,1.0,,,,1.0,0.0,0.0,0.0,2.0,,2.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3266.6666666666665
6663,10313929,apartment,flat-studio,165000.0,37.0,2.0,1.0,1.0,32.0,2.0,,1.0,,25.0,0.0,0.0,0.0,1.0,0.0,2.0,,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,4459.459459459459
1969,10280075,house,house,325000.0,77.0,2.0,1.0,1.0,30.0,3.0,,1.0,,11.0,0.0,0.0,0.0,3.0,1.0,5.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,4220.779220779221
3544,10501715,apartment,apartment,330000.0,99.0,2.0,2.0,1.0,54.0,1.0,1.0,2.0,1.0,18.0,44.0,0.0,0.0,1.0,0.0,1.0,Gas,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3333.3333333333335
6689,10250024,apartment,apartment,225000.0,63.0,,1.0,1.0,35.0,2.0,,,,9.0,0.0,0.0,0.0,1.0,0.0,2.0,,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3571.4285714285716
6709,10327372,apartment,apartment,695000.0,,,3.0,,42.0,1.0,,1.0,1.0,0.0,0.0,,,2.0,0.0,6.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,
3512,10462628,apartment,apartment,393000.0,96.0,2.0,2.0,1.0,,1.0,,1.0,1.0,8.0,0.0,1.0,,2.0,,5.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4093.75
4708,10100295,apartment,apartment-block,825000.0,255.0,2.0,5.0,4.0,,1.0,5.0,5.0,1.0,0.0,30.0,0.0,0.0,2.0,0.0,5.0,Gas,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,3235.294117647059
3522,10520263,apartment,apartment,540000.0,142.0,2.0,2.0,2.0,41.0,0.0,,2.0,,4.0,0.0,,,3.0,0.0,5.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,3802.8169014084506
3529,10382974,apartment,apartment,550000.0,82.0,2.0,2.0,1.0,,1.0,,1.0,1.0,25.0,0.0,,,3.0,1.0,4.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,6707.317073170731
6717,8601919,apartment,apartment,1839000.0,203.0,3.0,3.0,2.0,,1.0,,3.0,1.0,76.0,0.0,1.0,,,,1.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,9059.11330049261
3530,9544800,apartment,apartment,560000.0,129.0,4.0,3.0,2.0,,1.0,1.0,2.0,,15.0,0.0,1.0,,,0.0,6.0,Gas,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,4341.085271317829
3534,10491375,apartment,apartment,315000.0,53.0,2.0,1.0,,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,2.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,5943.396226415094
3535,10502398,apartment,apartment,315000.0,53.0,2.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,5943.396226415094
3538,10503298,apartment,apartment,325000.0,53.0,2.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,1.0,0.0,3.0,0.0,4.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,6132.075471698113
1410,10492907,apartment,apartment,270000.0,79.0,2.0,2.0,1.0,21.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,2.0,0.0,3.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3417.721518987342
1478,10070097,apartment,flat-studio,335000.0,40.0,2.0,,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,8375.0
6286,10278930,apartment,penthouse,500000.0,145.0,2.0,3.0,2.0,30.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,Gas,Non flood zone,Urban,1000,Bruxelles,1000,Brussels Capital Region,3448.2758620689656
6281,10356236,apartment,apartment,385000.0,106.0,2.0,2.0,1.0,45.0,3.0,,1.0,,24.0,0.0,1.0,,3.0,0.0,5.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,3632.0754716981132
5498,10453085,apartment,apartment,260000.0,65.0,3.0,1.0,1.0,,,,,,3.0,0.0,1.0,0.0,,1.0,3.0,Fuel oil,Non flood zone,,1000,Bruxelles,1000,Brussels Capital Region,4000.0
5497,10365021,apartment,apartment,254000.0,65.0,2.0,1.0,1.0,25.0,1.0,1.0,1.0,,3.0,0.0,1.0,0.0,2.0,,1.0,,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3907.6923076923076
5496,10363562,apartment,apartment,244000.0,65.0,2.0,1.0,1.0,25.0,1.0,1.0,1.0,,3.0,0.0,1.0,0.0,2.0,,1.0,,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3753.846153846154
8286,10313928,apartment,flat-studio,149000.0,35.0,2.0,1.0,1.0,30.0,2.0,,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,Non flood zone,Isolated,1000,Bruxelles,1000,Brussels Capital Region,4257.142857142857
5878,10321165,house,house,685000.0,280.0,2.0,5.0,3.0,,2.0,3.0,3.0,1.0,0.0,70.0,,,1.0,0.0,1.0,Gas,,,1000,Bruxelles,1000,Brussels Capital Region,2446.4285714285716
729,10357620,apartment,apartment,405000.0,105.0,3.0,1.0,1.0,45.0,3.0,,2.0,1.0,10.0,0.0,1.0,0.0,3.0,0.0,5.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,3857.1428571428573
728,10504382,apartment,apartment,412000.0,91.0,4.0,2.0,2.0,,1.0,,1.0,,7.0,0.0,1.0,0.0,2.0,1.0,6.0,Gas,,Urban,1000,Bruxelles,1000,Brussels Capital Region,4527.472527472528
881,10558640,apartment,ground-floor,407000.0,104.0,4.0,2.0,2.0,,3.0,2.0,2.0,1.0,13.0,0.0,1.0,0.0,3.0,,7.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3913.4615384615386
882,10558639,apartment,ground-floor,407000.0,107.0,4.0,2.0,2.0,,3.0,2.0,2.0,1.0,10.0,0.0,1.0,0.0,3.0,,7.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3803.7383177570096
883,10558633,apartment,ground-floor,384000.0,110.0,4.0,3.0,2.0,,3.0,1.0,1.0,1.0,7.0,0.0,1.0,0.0,3.0,,7.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,3490.909090909091
870,10125895,house,mansion,2295000.0,497.0,2.0,6.0,3.0,,2.0,,4.0,1.0,24.0,40.0,0.0,0.0,0.0,0.0,1.0,Gas,,Isolated,1000,Bruxelles,1000,Brussels Capital Region,4617.706237424547
723,10469888,apartment,apartment,400000.0,131.0,2.0,3.0,2.0,46.0,3.0,,1.0,1.0,42.0,0.0,1.0,0.0,0.0,,1.0,Electric,,"Living area (residential, urban or rural)",1000,Bruxelles,1000,Brussels Capital Region,3053.4351145038167
