,Construction year,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Accessible for disabled people,Swimming pool,Energy class,Heating type,Double glazing,Price,Address,Covered parking spaces,Flood zone type,Neighbourhood or locality,Outdoor parking spaces,Garden surface,Terrace surface,Garden,Monthly charges
7613,2023.0,As new,3.0,Urban,240  m² square meters,47  m² square meters,USA hyper equipped,,3.0,1.0,,2.0,,,,,,,Not specified,,Yes,"€ 475,000  475000 €",Kardinaal Mercierlaan 81 3001  - Leuven,1.0,Non flood zone,,1.0,,32  m²  square meters,,
7614,2023.0,As new,3.0,Isolated,356  m² square meters,82  m² square meters,USA hyper equipped,,5.0,3.0,1.0,5.0,,No,,No,No,No,B,,Yes,"€ 1,795,000  1795000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,1.0,Non flood zone,1 - Bruxelles Est,3.0,,27  m²  square meters,,
7615,2015.0,,2.0,,163  m² square meters,,,10  m² square meters,2.0,2.0,,,,,,,,,B,Gas,Yes,"€ 595,000  595000 €","Roterijstraat, 202 8793  - Waregem",,,,,,,,
7616,2013.0,Good,,,85  m² square meters,,Installed,,2.0,1.0,,1.0,,,Yes,,,,Not specified,Gas,Yes,"€ 209,000  209000 €","Roterijstraat, 202 8793  - Waregem",1.0,,,1.0,,,,
7617,,To renovate,4.0,Countryside,365  m² square meters,28  m² square meters,Not installed,4  m² square meters,4.0,1.0,,1.0,,No,Yes,,,,G,Fuel oil,,"€ 179,000  179000 €",Route de Marche 25 5580  - Rochefort,,Non flood zone,Zone Nord Province du Luxembourg,1.0,,,,
7618,1996.0,Good,4.0,,235  m² square meters,,,,3.0,1.0,,,,,,,,,B,,Yes,"€ 699,000  699000 €",Bredabaan 260 2930  - Brasschaat,1.0,Non flood zone,,,,,Yes,
7619,1926.0,Just renovated,4.0,,197  m² square meters,,,30  m² square meters,4.0,,2.0,2.0,,,,,,,D,Gas,Yes,"€ 295,000  295000 €",Chaussée de Namur 47 5030  - Gembloux,,Non flood zone,,2.0,,,Yes,
7620,1978.0,,4.0,,232  m² square meters,,Installed,,3.0,1.0,,2.0,,,,,,,D,Fuel oil,Yes,"€ 699,000  699000 €","Kortrijksesteenweg, 390 bus 001 9000  - Gent",,Non flood zone,,,,,,
7621,2001.0,As new,4.0,,415  m² square meters,34  m² square meters,USA installed,,5.0,3.0,,2.0,Yes,No,,No,No,No,C,Fuel oil,Yes,"€ 995,000  995000 €",Brusselsesteenweg 415 3090  - Overijse,1.0,Possible flood zone,,2.0,,115  m²  square meters,,
7622,1989.0,,4.0,,407  m² square meters,,Installed,,4.0,1.0,,2.0,Yes,,,,,,B,Gas,Yes,"€ 749,000  749000 €","Kortrijksesteenweg, 390 bus 001 9000  - Gent",2.0,Non flood zone,,2.0,,,Yes,
7623,1952.0,,3.0,"Living area (residential, urban or rural)",280  m² square meters,46  m² square meters,Hyper equipped,14  m² square meters,6.0,3.0,3.0,4.0,,No,,No,No,No,F,Gas,Yes,"€ 795,000  795000 €",rue Antoine Breart 42 1060  - Saint-Gilles,1.0,,,1.0,25  m²  square meters,2  m²  square meters,,
7624,1956.0,As new,4.0,,400  m² square meters,75  m² square meters,Installed,18  m² square meters,7.0,3.0,,4.0,Yes,No,,No,No,No,E,Gas,,"€ 1,630,000  1630000 €",Chaussée de Waterloo 1382 1180  - Uccle,2.0,Non flood zone,,1.0,640  m²  square meters,25  m²  square meters,,
7625,1930.0,Just renovated,3.0,,270  m² square meters,52  m² square meters,Hyper equipped,12  m² square meters,3.0,3.0,,4.0,Yes,No,,No,No,No,E,Gas,,"€ 1,240,000  1240000 €",Chaussée de Waterloo 1382 1180  - Uccle,,,,,170  m²  square meters,50  m²  square meters,,
