,url,Available as of,Available date,Construction year,Floor,Number of floors,Building condition,Street frontage width,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Armored door,Terrace,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Unnamed: 31,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Tenement building,Address,Website,External reference,Covered parking spaces,As built plan,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Neighbourhood or locality,Outdoor parking spaces,Virtual visit,Office surface,Office,Intercom,Total ground floor buildable,Cadastral income,Garden surface,Visio phone,Terrace surface,TV cable,Thermic solar panels,Garden,Garden orientation,Photovoltaic solar panels,Property name,Conformity certification for fuel tanks,Monthly charges,Dining room,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water & electricity",Secure access / alarm,Living room,Caretaker,Obligation to build,Bedroom 5 surface,Professional space surface,Attic,Agent's name,Dressing room,How many fireplaces?,Laundry room,Terrace orientation,Common water heater,E-level (overall energy performance),Isolated,Professional space,Land is facing street,Wooded land,Plot at rear,Flat land,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Type of building,Number of annexes,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,EPC description,Extra information,Value of the property,Sea view,Current monthly revenue,Age of annuitants,Venue of the sale,Single session,Terms of visit,Starting price,Percentage rented
20,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/anderlecht/1070/10558130,At delivery,March 31 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,25  kWh/m²  kilowatt hour per square meters,A,,B,25 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5338853,57.0,,Yes,Yes,No,No,,,Bruxelles,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/10558051,At delivery,October 31 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,42  kWh/m²  kilowatt hour per square meters,A,,Not specified,20 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5338852,1.0,,Yes,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/auderghem/1160/10557478,At delivery,September 30 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,40  kWh/m²  kilowatt hour per square meters,A,,1,10 kg CO₂/m²,Not specified,,,,No,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,http://www.latouretpetit.be,5339622,,,,,,,,,1 - Bruxelles Est,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558397,At delivery,May 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339347,50.0,,,,,,Non flood zone,,Bruxelles,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558285,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339257,,,,,,,Non flood zone,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558449,At delivery,May 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339415,,,,,,,Non flood zone,,Bruxelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558265,At delivery,February 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10557395,At delivery,January 15 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Sint-Denijslaan 1 9000  - Gent,http://www.immodavinci.be,5339892,1.0,,Yes,Yes,No,No,Possible flood zone,,Oost-Vlaanderen,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10558362,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,45  kWh/m²  kilowatt hour per square meters,A,,Not specified,45 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339298,23.0,,,,,,Non flood zone,,Bruxelles,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zwevegem/8550/10567607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Roterijstraat, 202 8793  - Waregem",http://www.immobeguin.be/,19012 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10557115,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,44  kWh/m²  kilowatt hour per square meters,A,,Not specified,44 kg CO₂/m²,Not specified,,,,No,Place Communale 8 1160  - Auderghem,http://www.weinvest.be,5339024,,,,,,,,,Bruxelles,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-denijs-westrem/9051/10543785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR23003IWALA,,,Yes,No,No,No,Non flood zone,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waregem/8790/10077054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Stationstraat 31 8790  - Waregem,http://www.dewaele.com/,D8790-22209-NBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/averbode/3271/10324963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,http://www.heylenvastgoed.be,36061 - NWB-22-FVD-0,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/10556733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR23003IWALA,,,Yes,No,No,No,Non flood zone,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/10563685,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,1  kWh/m²  kilowatt hour per square meters,A,,Not specified,Not specified,Not specified,,,,No,Sint-Denijslaan 1 9000  - Gent,http://www.immodavinci.be,5342298,10.0,,Yes,Yes,No,No,Non flood zone,,Gent en omstreken,101.0,,,,,,€ 1  1 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ronse/9600/10543406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Grote Markt 35 9600  - Ronse,http://www.immobeguin.be/,7893 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/laakdal/2430/10518601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Markt 20 2440  - Geel,http://www.heylenvastgoed.be,88684 - NWB-23-SSC-0,,,Yes,No,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/wetteren/9230/10543784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR22003IWLA,,,Yes,No,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lier/2500/10497245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Antwerpsesteenweg 359 2500  - Lier,http://www.heylenvastgoed.be,34473 - NWB-21-DHE-2,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bornem/2880/10210689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Dorpshart 10 2870  - Puurs,http://www.trevi-axus.be,9631 -,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/waregem/8790/10107990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Stationstraat 31 8790  - Waregem,http://www.dewaele.com/,D8790-22207-NBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/10556732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR23003IWALA,,,Yes,No,No,No,Non flood zone,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/beveren/8791/10539226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Roterijstraat, 202 8793  - Waregem",http://www.immobeguin.be/,21666 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-denijs-westrem/9051/10543786,,March 15 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR22004IWLSA,15.0,,Yes,No,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/diegem/1831/10352876,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Boulevard de la Woluwé 2 1150  - Bruxelles,,,,,,,,,Non flood zone,,De groene long van Diegem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-lambrechts-woluwe/1200/9577360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,Yes,Industrieweg 76 9032  - Wondelgem,http://www.oryx-projects.be,Les Balcons_2110,,,Yes,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/oudenaarde/9700/10204875,At delivery,July 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Stationstraat 30 9600  - Ronse,,5075578,7.0,,Yes,Yes,No,No,Non flood zone,,Vlaamse Ardennen,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gembloux/5030/9814641,At delivery,August 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Avenue de L'amarante 39 1020  - Bruxelles,http://www.residency.be,4705452,,,,,,,,,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/puurs%20sint-amands/2870/10532122,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Kapelanielaan 9c 9140  - Temse,http://www.ipon-nv.be,,,,Yes,Yes,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/turnhout/2300/10441646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,Yes,Kempenlaan 32 2300  - Turnhout,http://www.heylenvastgoed.be,83065 - NWB-23-SSC-0,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/arlon/6700/10278768,,June 1 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Route de Neufchateau 208 6700  - Arlon,http://www.treviluxembourg.be,336 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/herenthout/2270/10564722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Grote Markt 10 2200  - HERENTALS,http://www.heylenvastgoed.be,36421 - NWB-21-DHE-2,,,Yes,No,,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roosdaal%20onze-lieve-vrouw-lombeek/1760/8818333,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,1234,Not specified,Not specified,,,,No,Burchtstraat 12 9400  - Ninove,http://www.living-stone.be,4057791,2.0,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/ardooie/8850/10173249,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,EPB op te maken,Not specified,Not specified,,,,No,Sint-Michielsstraat 26 8800  - Roeselare,http://www.immofrancois.be,,,,Yes,No,Yes,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/arlon/6700/10277856,,June 1 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Avenue de Longwy 340 6700  - Arlon,http://www.wimmobiliere.com,5598 -,,,,,,,,,,,,,,,,€ 1  1 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussels%20city/1000/9881253,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Chausée de Bruxelles 135 A 1310  - La Hulpe,,,,,,,,,,,Cambre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurore Orbant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sint-denijs-westrem/9051/10556735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR23003IWALA,,,Yes,No,No,No,Non flood zone,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lille/2275/10530529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Sint-Jansvliet 5 2000  - Antwerpen,http://www.heylenvastgoed.be,88690 - NWB-SEM-005,,,Yes,Yes,No,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/trazegnies/6183/10287303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue Seutin 2 1400  - Nivelles,,,,,Yes,,,No,Non flood zone,,Les Lauriers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/deinze/9850/10496793,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,20  kWh/m²  kilowatt hour per square meters,A,,Not specified,Not specified,Not specified,,,,No,Markt 32 8700  - Tielt,,,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/seraing/4100/10368190,,December 31 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,rue du bosquet 3 1348  - Louvain-la-neuve,,2152 -,,,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/schaerbeek/1030/10554745,At delivery,December 1 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,67  kWh/m²  kilowatt hour per square meters,B,,Not specified,25 kg CO₂/m²,Not specified,,,,No,Boulevard de la Woluwe 62 boîte 3 1200  - Woluwe-St-Lambert,http://www.latouretpetit.be,5337239,17.0,,,,,,Non flood zone,,1 - Bruxelles Est,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/geraardsbergen/9500/10520651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,EPB-nieuwbouw,Not specified,Not specified,,,,No,Parklaan 63 9300  - Aalst,http://www.bricksimmo.be,19306 -,,,Yes,Yes,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/seraing/4100/10169633,At delivery,December 31 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Rue Fort d'Andoy 5 5100  - Wierde,https://www.thomas-piron.eu/appartements,4973097,,,Yes,,,,,,Liège,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/10556736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Brusselsesteenweg 690 9050  - Gentbrugge,http://www.landbergh.be/,PR21003IWLS,,,Yes,,,No,Non flood zone,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/eupen/4700/10428225,At delivery,June 21 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,105  kWh/m²  kilowatt hour per square meters,B,,Not specified,Not specified,Not specified,,,,No,Rue Fort d'Andoy 5 5100  - Wierde,https://www.thomas-piron.eu/appartements,5269973,26.0,,Yes,,,,,,Liège,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/wilsele/3012/10554973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Mechelsesteenweg 382 3020  - Herent,http://www.immolivit.be,1996157 - 2421,,,Yes,,No,No,Possible flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/mons/7000/9174900,At delivery,November 15 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,107  kWh/m²  kilowatt hour per square meters,B,,Not specified,Not specified,Not specified,,,,No,Rue Fort d'Andoy 5 5100  - Wierde,https://www.thomas-piron.eu/appartements,4280471,89.0,,Yes,,,,,,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evere/1140/10565620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,De Kleetlaan 4 1831  - Diegem,http://www.kasperkent.be,849 - Project Kolone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/steenokkerzeel/1820/10566593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Van Frachenlaan 10 1820  - Steenokkerzeel,,5503 - HUIS BUELENS,,,Yes,No,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/wielsbeke/8710/10562540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Roterijstraat, 202 8793  - Waregem",http://www.immobeguin.be/,26411 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
