,url,Available as of,Available date,Construction year,Floor,Number of floors,Building condition,Street frontage width,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Armored door,Terrace,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Unnamed: 31,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Tenement building,Address,Website,External reference,Covered parking spaces,As built plan,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Neighbourhood or locality,Outdoor parking spaces,Virtual visit,Office surface,Office,Intercom,Total ground floor buildable,Cadastral income,Garden surface,Visio phone,Terrace surface,TV cable,Thermic solar panels,Garden,Garden orientation,Photovoltaic solar panels,Property name,Conformity certification for fuel tanks,Monthly charges,Dining room,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water & electricity",Secure access / alarm,Living room,Caretaker,Obligation to build,Bedroom 5 surface,Professional space surface,Attic,Agent's name,Dressing room,How many fireplaces?,Laundry room,Terrace orientation,Common water heater,E-level (overall energy performance),Isolated,Professional space,Land is facing street,Wooded land,Plot at rear,Flat land,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Type of building,Number of annexes,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,EPC description,Extra information,Value of the property,Sea view,Current monthly revenue,Age of annuitants,Venue of the sale,Single session,Terms of visit,Starting price,Percentage rented
332,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/berlaar/2590/10146116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Theofiel De Biestraat 11 2220  - Heist-op-den-Berg,http://www.heylenvastgoed.be,38241 - NWB-21-FVD-1,,,Yes,Yes,,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lanaken/3620/9335897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Broekermolenplein 2 3500  - Hasselt,http://www.matexi.be,P0224_H,,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,
334,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/emblem/2520/10308505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Antwerpsesteenweg 359 2500  - Lier,http://www.heylenvastgoed.be,71679 - NWB-22-DHE-1,,,Yes,No,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/messancy%20wolkrange/6780/10270012,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,83  kWh/m²  kilowatt hour per square meters,A,,Not specified,Not specified,Not specified,,,,No,Route de Longwy 572A 6700  - Arlon,https://honesty.be/,4976857,,,,,,,,,Zone Sud Province du Luxembourg,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/schilde%20%27s-gravenwezel/2970/10138619,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,"Jordaenskaai, 21 2000  - Antwerpen",http://www.demeester.eu,4839515,26.0,,Yes,No,No,No,Non flood zone,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/eernegem/8480/10396300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Oostendsesteenweg 216B 8480  - Eernegem,,2666 -,,,Yes,Yes,No,No,Non flood zone,,torhout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/houwaart/3390/10443730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Vismarkt 10 c 3000  - Leuven,http://www.immo-time.be,3653 -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/hoegaarden/3320/10388456,After signing the deed,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Kardinaal Mercierlaan 81 3001  - Leuven,http://www.living-stone.be,5251463,,,Yes,Yes,No,No,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/ruddervoorde/8020/9940163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Vlamingstraat 62 8000  - Brugge,http://www.dewaele.com,D8000-F1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/leuven/3000/10149085,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,,Not specified,Not specified,Not specified,,,,No,Kardinaal Mercierlaan 81 3001  - Leuven,http://www.living-stone.be,4965175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
