,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
12992,As new,4.0,,322  m² square meters,,,4.0,2.0,2.0,3.0,Yes,,,No,Yes,D,Electric,"€ 648,000  648000 €",,,,,
12993,To renovate,4.0,,,55  m² square meters,Installed,5.0,1.0,1.0,2.0,Yes,No,Yes,,,F,Gas,"€ 649,000  649000 €","Chaussée Bara, 148 1420  - Braine L'Alleud",,,,
12994,Good,4.0,Countryside,290  m² square meters,,Installed,3.0,1.0,,2.0,,No,Yes,No,No,E,Fuel oil,"€ 649,000  649000 €",Yzerhand 33 9120  - Beveren,Non flood zone,1400  m²  square meters,,
12995,Good,4.0,Urban,310  m² square meters,,,3.0,2.0,,3.0,,No,,,,F,Electric,"€ 570,000  570000 €",Leopold II - laan 29 8400  - Oostende,Non flood zone,800  m²  square meters,45  m²  square meters,
12996,As new,2.0,,210  m² square meters,,USA hyper equipped,4.0,2.0,2.0,3.0,Yes,,Yes,,,C,Gas,"€ 649,000  649000 €","Chaussée Bara, 148 1420  - Braine L'Alleud",,,,
12997,As new,2.0,,165  m² square meters,,Installed,4.0,1.0,3.0,3.0,Yes,No,,,,D,Gas,"€ 575,000  575000 €",Rue F. Vekemans 121 1120  - Neder-over-Heembeek,,42  m²  square meters,19  m²  square meters,
12998,,4.0,,250  m² square meters,,Hyper equipped,5.0,1.0,,,,,,,,A,,"Make an offer starting from  € 649,000  Make an offer starting from  649000 €",Rue Brun 11 5300  - Andenne,,,,Yes
12999,Good,3.0,,191  m² square meters,47  m² square meters,Hyper equipped,4.0,2.0,2.0,3.0,,No,,No,No,E,Gas,"€ 650,000  650000 €",Tomberg 212 1200  - Woluwe-Saint-Lambert,,140  m²  square meters,10  m²  square meters,
13000,Good,2.0,,187  m² square meters,,USA installed,3.0,2.0,2.0,2.0,Yes,No,,No,No,E,,"€ 580,000  580000 €",Avenue Louise 251 1050  - Ixelles,,33  m²  square meters,18  m²  square meters,
13001,Good,4.0,,231  m² square meters,48  m² square meters,Installed,3.0,2.0,,2.0,,,,,,C,Gas,"€ 650,000  650000 €",Avenue de Burlet 11A 1400  - Nivelles,,,,
13002,Good,3.0,,131  m² square meters,20  m² square meters,Installed,3.0,2.0,,1.0,,,Yes,,,B,Gas,"€ 585,000  585000 €",Oude Schrieksebaan 20 2820  - Bonheiden,Non flood zone,111  m²  square meters,,
13003,To renovate,2.0,,,31  m² square meters,Semi equipped,3.0,1.0,,2.0,Yes,No,,No,No,F,Gas,"€ 660,000  660000 €",Avenue de Tervuren 113 1040  - Etterbeek,Non flood zone,100  m²  square meters,20  m²  square meters,
13004,To renovate,2.0,,255  m² square meters,38  m² square meters,Not installed,5.0,1.0,1.0,1.0,,No,,,,E,Gas,"€ 675,000  675000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,11  m²  square meters,
13005,As new,4.0,,155  m² square meters,36  m² square meters,Hyper equipped,3.0,2.0,1.0,2.0,Yes,No,Yes,,,E,Fuel oil,"€ 650,000  650000 €",Avenue Reine Astrid 215 1410  - Waterloo,,739  m²  square meters,,
13006,Good,4.0,,218  m² square meters,63  m² square meters,Semi equipped,4.0,2.0,,2.0,Yes,,,,,E,Electric,"€ 650,000  650000 €",Grand' Route 69 A 1435  - Corbais,,,47  m²  square meters,Yes
13007,Good,2.0,,,,USA semi equipped,7.0,4.0,4.0,4.0,Yes,No,,No,No,F,,"€ 680,000  680000 €",Rue Royale 178 1000  - Bruxelles,Non flood zone,,8  m²  square meters,
13008,,2.0,,200  m² square meters,32  m² square meters,,4.0,1.0,1.0,1.0,Yes,,,,,G,Gas,"€ 595,000  595000 €",Rue Alexandre Markelbach 78 1030  - Schaarbeek,Non flood zone,70  m²  square meters,20  m²  square meters,
13009,Good,2.0,Urban,400  m² square meters,49  m² square meters,Semi equipped,6.0,1.0,,3.0,,No,Yes,,,F,Gas,"€ 595,000  595000 €",Avenue de Laeken 29 1090  - Jette,,83  m²  square meters,,
13010,Good,4.0,,330  m² square meters,,Installed,4.0,4.0,,6.0,Yes,,,,,C,Gas,"€ 690,000  690000 €",Rue de la Libération 59 5580  - Rochefort,,,35  m²  square meters,
13011,To renovate,3.0,,315  m² square meters,,,3.0,1.0,,2.0,Yes,,,,,F,Gas,"€ 690,000  690000 €",Zoutelaan 4 8300  - Knokke-Heist,Non flood zone,,,
13012,As new,2.0,,520  m² square meters,74  m² square meters,,7.0,2.0,,3.0,Yes,No,Yes,No,No,B,Gas,"€ 595,000  595000 €",Dokter Honore Dewolfstraat 23 9700  - Oudenaarde,Non flood zone,,,Yes
13013,To be done up,2.0,,233  m² square meters,23  m² square meters,Installed,3.0,3.0,3.0,3.0,Yes,No,,No,No,D,Gas,"€ 595,000  595000 €",Place Brugmann 10B 1050  - Ixelles,,,,
13014,Good,2.0,,732  m² square meters,34  m² square meters,Installed,1.0,1.0,,2.0,Yes,No,,,,Not specified,Gas,"€ 700,000  700000 €",Chaussée de Bruxelles 165 1190  - Forest,,,30  m²  square meters,
13015,Good,2.0,,135  m² square meters,32  m² square meters,Hyper equipped,4.0,2.0,2.0,3.0,,No,,,,D,Gas,"€ 595,000  595000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,,,6  m²  square meters,
13016,As new,3.0,,270  m² square meters,38  m² square meters,USA hyper equipped,5.0,2.0,,2.0,Yes,No,,No,,B,Gas,"€ 725,000  725000 €",Rue des Combattants 98 1310  - La Hulpe,Non flood zone,221  m²  square meters,5  m²  square meters,
13017,Good,4.0,Urban,238  m² square meters,,,3.0,1.0,,1.0,,No,,No,Yes,F,Fuel oil,"€ 599,000  599000 €",Stationstraat 31 8790  - Waregem,,,,
13018,As new,4.0,,290  m² square meters,45  m² square meters,USA installed,6.0,2.0,2.0,3.0,,No,,No,Yes,C,Fuel oil,"€ 700,000  700000 €",Chaussée de Marche 474 5101  - Erpent,,4000  m²  square meters,150  m²  square meters,
13019,Good,4.0,"Living area (residential, urban or rural)",670  m² square meters,45  m² square meters,Hyper equipped,6.0,2.0,,4.0,,,,,,C,Gas,"€ 695,000  695000 €",Meershofstraat 41 8800  - Roeselare,Non flood zone,,50  m²  square meters,Yes
13020,As new,4.0,Landscape,260  m² square meters,,Installed,5.0,2.0,,2.0,Yes,,,No,No,C,Fuel oil,"€ 595,000  595000 €",,Non flood zone,1  m²  square meter,1  m²  square meter,
13021,Good,4.0,Countryside,232  m² square meters,60  m² square meters,Hyper equipped,4.0,1.0,1.0,3.0,,,,No,No,E,Electric,"€ 595,000  595000 €",,Non flood zone,1100  m²  square meters,32  m²  square meters,
13022,As new,2.0,,290  m² square meters,35  m² square meters,USA semi equipped,4.0,2.0,2.0,3.0,Yes,No,,,,E,Gas,"€ 725,000  725000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,60  m²  square meters,22  m²  square meters,
13023,As new,2.0,,520  m² square meters,74  m² square meters,,7.0,2.0,,3.0,Yes,No,Yes,No,No,B,Gas,"€ 595,000  595000 €",Dokter Honore Dewolfstraat 23 9700  - Oudenaarde,Non flood zone,,,Yes
13024,As new,4.0,,250  m² square meters,45  m² square meters,,12.0,1.0,,1.0,,No,Yes,No,No,F,Fuel oil,"€ 699,000  699000 €",Dokter Honore Dewolfstraat 23 9700  - Oudenaarde,Possible flood zone,,,Yes
13025,As new,2.0,"Living area (residential, urban or rural)",223  m² square meters,,Hyper equipped,4.0,2.0,,2.0,Yes,,,No,No,B,Gas,"€ 599,000  599000 €",,Non flood zone,93  m²  square meters,,
13026,,4.0,,360  m² square meters,,Installed,5.0,2.0,,,,,Yes,,Yes,D,,"€ 698,500  698500 €",Damstraat 131 bus1 9800  - St-Martens-Leerne,Non flood zone,,,Yes
13027,Good,4.0,"Living area (residential, urban or rural)",271  m² square meters,,Hyper equipped,6.0,1.0,1.0,1.0,,No,Yes,No,No,B,Fuel oil,"€ 599,000  599000 €",Maenhoutstraat 72A 9830  - St-Martens-Latem,Possible flood zone,,,
13028,To renovate,4.0,,188  m² square meters,,Not installed,3.0,2.0,2.0,2.0,,No,,,,E,,"€ 745,000  745000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,400  m²  square meters,20  m²  square meters,
13029,To renovate,4.0,,311  m² square meters,73  m² square meters,Not installed,3.0,1.0,1.0,,,,,,,F,,"€ 749,000  749000 €",Kolmen 28 3980  - Tessenderlo,Non flood zone,,,
13030,Just renovated,2.0,,283  m² square meters,74  m² square meters,USA hyper equipped,2.0,1.0,1.0,2.0,,,,,,C,Gas,"€ 750,000  750000 €",Place des chasseurs Ardennais 24-26 1030  - Schaerbeek,,,,
13031,Good,4.0,Isolated,300  m² square meters,,,9.0,8.0,8.0,8.0,,Yes,Yes,No,No,E,Gas,"Make an offer starting from  € 600,000  Make an offer starting from  600000 €","Rue Maréchal Joffre, 26 7387  - Fayt-le-franc",Non flood zone,125  m²  square meters,,
