,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
0,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,No,F,Gas,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
1,Good,2.0,,258  m² square meters,,Hyper equipped,2.0,1.0,,2.0,,Yes,Yes,,,A,Gas,"€ 775,000  775000 €",Mechelsesteenweg 382 3020  - Herent,Non flood zone,,,
2,Good,4.0,Urban,94  m² square meters,34  m² square meters,Installed,2.0,1.0,1.0,1.0,Yes,No,Yes,No,No,E,Gas,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
3,Good,3.0,Isolated,212  m² square meters,60  m² square meters,Installed,4.0,2.0,2.0,2.0,Yes,No,Yes,Yes,No,F,Gas,"€ 730,000  730000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
4,Good,2.0,Isolated,111  m² square meters,30  m² square meters,Installed,3.0,1.0,1.0,1.0,Yes,No,,Yes,No,B,Gas,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,200  m²  square meters,,
5,As new,2.0,Urban,96  m² square meters,27  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 320,000  320000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,16  m²  square meters,
6,As new,2.0,Urban,99  m² square meters,34  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 390,000  390000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,12  m²  square meters,
7,As new,2.0,Urban,43  m² square meters,27  m² square meters,USA hyper equipped,,1.0,1.0,1.0,Yes,No,,Yes,No,C,Gas,"€ 180,000  180000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,Non flood zone,,5  m²  square meters,
8,Good,2.0,"Living area (residential, urban or rural)",110  m² square meters,51  m² square meters,Installed,2.0,1.0,,1.0,,No,Yes,,,C,Gas,"€ 230,000  230000 €",Zuidlaan 72 9230  - Wetteren,Non flood zone,,,Yes
9,To be done up,2.0,Countryside,80  m² square meters,,Installed,1.0,1.0,,1.0,,,,,,B,Fuel oil,"€ 220,000  220000 €",Tussenbruggen 9 9700  - Oudenaarde,Non flood zone,,14  m²  square meters,Yes
10,Good,2.0,,125  m² square meters,,Semi equipped,2.0,1.0,,1.0,,,Yes,,,B,Gas,"€ 219,000  219000 €",Grote Markt 35 9600  - Ronse,Non flood zone,,,
11,Good,2.0,Urban,84  m² square meters,27  m² square meters,Installed,2.0,1.0,,1.0,,No,,Yes,No,B,Gas,"€ 159,000  159000 €",Stationstraat 30 9600  - Ronse,Non flood zone,,12  m²  square meters,
12,As new,2.0,Urban,63  m² square meters,38  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 230,000  230000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
13,Good,2.0,Isolated,76  m² square meters,15  m² square meters,Semi equipped,1.0,1.0,1.0,1.0,Yes,No,,No,No,E,Gas,"€ 230,000  230000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",,,2  m²  square meters,
14,As new,2.0,Urban,63  m² square meters,38  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
15,Good,3.0,Isolated,185  m² square meters,35  m² square meters,Installed,4.0,1.0,1.0,2.0,,No,,No,No,G,Gas,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,72  m²  square meters,
16,Good,2.0,Urban,78  m² square meters,16  m² square meters,Installed,1.0,1.0,,1.0,,No,,No,No,B,Gas,"€ 235,000  235000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,,
17,As new,2.0,Urban,52  m² square meters,,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,B,Gas,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
18,Good,2.0,Isolated,125  m² square meters,25  m² square meters,Installed,4.0,1.0,1.0,1.0,Yes,No,,No,No,F,Fuel oil,"€ 244,000  244000 €",Place Merlot 6 4100  - Seraing,Non flood zone,28  m²  square meters,108  m²  square meters,
19,To renovate,,,110  m² square meters,32  m² square meters,Semi equipped,3.0,1.0,,1.0,,,,Yes,,C,Fuel oil,"€ 249,000  249000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,,,6  m²  square meters,
36,Good,2.0,Urban,95  m² square meters,42  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 199,000  199000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,4  m²  square meters,
43,Good,3.0,Isolated,230  m² square meters,12  m² square meters,USA installed,5.0,2.0,2.0,2.0,Yes,No,,No,No,E,Fuel oil,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,339  m²  square meters,,
48,Good,3.0,Isolated,230  m² square meters,12  m² square meters,Not installed,5.0,2.0,2.0,2.0,Yes,No,,No,No,E,Fuel oil,"Make an offer starting from  € 235,000  Make an offer starting from  235000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,339  m²  square meters,,
52,Just renovated,2.0,Isolated,46  m² square meters,26  m² square meters,Installed,,1.0,,1.0,Yes,No,,Yes,No,C,Gas,"€ 245,000  245000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,6  m²  square meters,
63,To renovate,2.0,Isolated,155  m² square meters,31  m² square meters,Semi equipped,3.0,1.0,,1.0,,No,,No,No,F,Gas,"€ 235,000  235000 €","Oude zandstraat , 30 9120  - Beveren",Non flood zone,115  m²  square meters,15  m²  square meters,
65,As new,4.0,Urban,76  m² square meters,19  m² square meters,Hyper equipped,1.0,1.0,,1.0,,No,,Yes,,A,Gas,"€ 260,000  260000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
79,As new,4.0,Urban,76  m² square meters,19  m² square meters,Hyper equipped,1.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 265,000  265000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
96,Good,2.0,Landscape,72  m² square meters,,Installed,2.0,1.0,,2.0,Yes,Yes,Yes,Yes,,B,Gas,"€ 285,000  285000 €",Franchommelaan 82-86 8370  - Blankenberge,Non flood zone,,,
104,As new,2.0,"Living area (residential, urban or rural)",94  m² square meters,35  m² square meters,Installed,2.0,1.0,1.0,1.0,,No,,Yes,No,G,Fuel oil,"€ 295,000  295000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",Non flood zone,,5  m²  square meters,
110,As new,4.0,Urban,97  m² square meters,31  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 311,000  311000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
114,As new,4.0,Urban,97  m² square meters,31  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 323,500  323500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
137,Good,,,95  m² square meters,30  m² square meters,Hyper equipped,2.0,1.0,,2.0,Yes,,,Yes,,D,Gas,"€ 275,000  275000 €","rue Guillaume Crocklaan, 2 1160  - Oudergem",,,14  m²  square meters,
142,As new,4.0,Urban,112  m² square meters,29  m² square meters,Hyper equipped,3.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 351,000  351000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
143,Good,2.0,,95  m² square meters,33  m² square meters,Semi equipped,2.0,1.0,,1.0,,,,,,B,Gas,"€ 335,000  335000 €",Verbindingsweg 41 1880  - Kapelle-op-den-Bos,Non flood zone,,32  m²  square meters,
144,As new,4.0,Urban,111  m² square meters,29  m² square meters,Hyper equipped,3.0,2.0,,1.0,,No,,Yes,No,A,Gas,"€ 355,000  355000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
154,To be done up,2.0,Urban,207  m² square meters,19  m² square meters,Installed,4.0,1.0,,1.0,Yes,No,Yes,,,G,Gas,"Make an offer starting from  € 360,000  Make an offer starting from  360000 €",Grand Place 2 1470  - Genappe,Non flood zone,518  m²  square meters,,
157,Good,4.0,Isolated,330  m² square meters,40  m² square meters,Installed,4.0,1.0,,2.0,,No,,,,E,Fuel oil,"€ 425,000  425000 €",Chaussée de Tirlemont 15/1 4260  - Braives,,850  m²  square meters,120  m²  square meters,
159,As new,4.0,Isolated,272  m² square meters,31  m² square meters,Hyper equipped,4.0,2.0,,3.0,,No,,No,Yes,D,Fuel oil,"€ 639,000  639000 €",Veemarkt 14 3300  - Tienen,Possible flood zone,2200  m²  square meters,50  m²  square meters,
160,Just renovated,2.0,,85  m² square meters,,Hyper equipped,2.0,2.0,1.0,2.0,Yes,Yes,Yes,Yes,No,B,Gas,"€ 795,000  795000 €",Lippenslaan 201 8300  - Knokke-Heist,Non flood zone,,,Yes
162,Good,4.0,"Living area (residential, urban or rural)",225  m² square meters,50  m² square meters,Hyper equipped,4.0,3.0,,3.0,,No,,,,G,Gas,"€ 1,450,000  1450000 €",Avenue René Gobert 26 1180  - Uccle,,,55  m²  square meters,
165,Good,3.0,"Living area (residential, urban or rural)",225  m² square meters,50  m² square meters,Hyper equipped,4.0,3.0,,3.0,,No,,,,C,Gas,"€ 1,450,000  1450000 €",Avenue René Gobert 26 1180  - Uccle,,,55  m²  square meters,
166,As new,4.0,Urban,110  m² square meters,29  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 355,000  355000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
172,As new,4.0,Countryside,92  m² square meters,,Hyper equipped,2.0,1.0,1.0,2.0,Yes,,,Yes,No,A,Gas,"€ 321,000  321000 €",Place Communale 8 1160  - Auderghem,,,,
173,As new,4.0,Urban,74  m² square meters,,USA installed,1.0,1.0,1.0,1.0,,,,Yes,No,A,Gas,"€ 279,000  279000 €",Place Communale 8 1160  - Auderghem,,,8  m²  square meters,
174,As new,3.0,Isolated,81  m² square meters,,USA installed,2.0,1.0,1.0,2.0,Yes,No,,Yes,No,A,Gas,"€ 326,000  326000 €",Place Communale 8 1160  - Auderghem,,,6  m²  square meters,
176,As new,4.0,Urban,126  m² square meters,29  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 361,000  361000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
177,As new,4.0,Urban,115  m² square meters,29  m² square meters,Hyper equipped,3.0,2.0,,1.0,,No,,Yes,,A,Gas,"€ 356,000  356000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
180,As new,4.0,Urban,126  m² square meters,29  m² square meters,Hyper equipped,3.0,2.0,,1.0,,No,,Yes,No,A,Gas,"€ 366,000  366000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
183,As new,4.0,Isolated,92  m² square meters,,Hyper equipped,2.0,1.0,2.0,2.0,Yes,,,Yes,No,A,Gas,"€ 361,000  361000 €",Place Communale 8 1160  - Auderghem,,,8  m²  square meters,
185,As new,4.0,Isolated,99  m² square meters,,USA installed,2.0,2.0,2.0,2.0,Yes,No,,Yes,No,A,Gas,"€ 360,000  360000 €",Place Communale 8 1160  - Auderghem,,,10  m²  square meters,
187,Good,2.0,,74  m² square meters,43  m² square meters,Installed,1.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 172,000  172000 €",Dorpshart 10 2870  - Puurs,Non flood zone,,,
189,Just renovated,,,102  m² square meters,,Hyper equipped,2.0,1.0,,1.0,Yes,,Yes,Yes,,A,Gas,"€ 235,000  235000 €","Roterijstraat, 202 8793  - Waregem",,,,
192,As new,4.0,Isolated,126  m² square meters,,Hyper equipped,3.0,2.0,2.0,2.0,Yes,,,Yes,No,A,Gas,"€ 484,000  484000 €",Place Communale 8 1160  - Auderghem,,,13  m²  square meters,
207,To be done up,2.0,Urban,214  m² square meters,62  m² square meters,Not installed,3.0,1.0,,2.0,Yes,No,,Yes,No,E,Gas,"€ 375,000  375000 €",Rue Simon 46/2 6990  - Hotton,Non flood zone,,,
209,As new,4.0,Urban,165  m² square meters,23  m² square meters,Hyper equipped,2.0,2.0,,1.0,,No,,Yes,No,A,Gas,"€ 405,000  405000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
216,As new,4.0,Countryside,195  m² square meters,54  m² square meters,Installed,3.0,1.0,,2.0,,No,,,,B,Fuel oil,"€ 440,000  440000 €",Chaussée de Tirlemont 15/1 4260  - Braives,,515  m²  square meters,30  m²  square meters,
217,As new,4.0,Urban,146  m² square meters,32  m² square meters,Hyper equipped,3.0,2.0,,1.0,,No,,Yes,No,A,Gas,"€ 421,000  421000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
218,As new,4.0,Urban,148  m² square meters,28  m² square meters,Hyper equipped,3.0,2.0,,1.0,,No,,Yes,No,A,Gas,"€ 426,000  426000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,11  m²  square meters,
219,Good,2.0,Isolated,187  m² square meters,30  m² square meters,Installed,4.0,1.0,2.0,3.0,Yes,No,,No,No,E,Gas,"€ 620,000  620000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,70  m²  square meters,20  m²  square meters,
221,To be done up,2.0,Urban,152  m² square meters,37  m² square meters,Not installed,4.0,1.0,,2.0,,No,Yes,,,F,Gas,"€ 585,000  585000 €",Rue Tenbosch 37 1050  - Ixelles,,70  m²  square meters,,
227,Good,2.0,Isolated,41  m² square meters,,Installed,,1.0,1.0,1.0,Yes,No,,Yes,No,G,Fuel oil,"€ 175,000  175000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
231,Good,2.0,Isolated,94  m² square meters,27  m² square meters,Hyper equipped,3.0,1.0,1.0,1.0,,No,,Yes,No,D,Gas,"€ 299,000  299000 €",Place Communale 8 1160  - Auderghem,,,15  m²  square meters,
233,As new,3.0,Urban,91  m² square meters,,Hyper equipped,2.0,2.0,2.0,1.0,,No,,,,F,Gas,"€ 350,000  350000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
238,Good,3.0,Isolated,144  m² square meters,,Hyper equipped,3.0,1.0,2.0,2.0,,No,,Yes,No,F,Gas,"€ 580,000  580000 €",9 rue Berckmans 1060  - Saint-Gilles,Non flood zone,,2  m²  square meters,
239,As new,4.0,Urban,99  m² square meters,22  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,No,No,A,Gas,"€ 365,000  365000 €",Brusselsesteenweg 690 9050  - Gentbrugge,Non flood zone,,12  m²  square meters,Yes
240,As new,2.0,Urban,99  m² square meters,25  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,Gas,"€ 365,000  365000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,12  m²  square meters,
242,As new,2.0,Isolated,156  m² square meters,37  m² square meters,USA hyper equipped,2.0,1.0,1.0,2.0,Yes,,,Yes,No,D,Gas,"€ 530,000  530000 €",9 rue Berckmans 1060  - Saint-Gilles,,,40  m²  square meters,
243,Just renovated,2.0,Urban,88  m² square meters,40  m² square meters,Hyper equipped,2.0,1.0,,2.0,Yes,No,,,,C,Gas,"€ 360,000  360000 €",Avenue René Gobert 26 1180  - Uccle,,,,
244,To be done up,2.0,Urban,154  m² square meters,21  m² square meters,USA semi equipped,3.0,1.0,,1.0,,No,,No,No,D,Gas,"€ 335,000  335000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,8  m²  square meters,,
246,As new,2.0,Isolated,156  m² square meters,37  m² square meters,USA hyper equipped,2.0,1.0,1.0,2.0,Yes,,,Yes,No,D,Gas,"€ 530,000  530000 €",9 rue Berckmans 1060  - Saint-Gilles,,,40  m²  square meters,
247,Good,2.0,Isolated,138  m² square meters,26  m² square meters,USA installed,3.0,1.0,,1.0,Yes,No,,No,No,G,Gas,"€ 499,500  499500 €",Avenue Louise 433 1050  - Bruxelles,Non flood zone,50  m²  square meters,20  m²  square meters,
249,As new,,Urban,89  m² square meters,,Not installed,2.0,1.0,,1.0,,No,,Yes,,A,Gas,"€ 220,000  220000 €",Rue Fort d'Andoy 5 5100  - Wierde,,,4  m²  square meters,
250,As new,,Urban,115  m² square meters,,Not installed,2.0,1.0,,1.0,,No,,Yes,,A,Gas,"€ 244,000  244000 €",Rue Fort d'Andoy 5 5100  - Wierde,,,7  m²  square meters,
251,As new,,Urban,73  m² square meters,,Not installed,1.0,1.0,,1.0,,No,,Yes,,B,Gas,"€ 183,000  183000 €",Rue Fort d'Andoy 5 5100  - Wierde,,,4  m²  square meters,
253,To renovate,2.0,Isolated,70  m² square meters,35  m² square meters,Not installed,1.0,1.0,,1.0,,No,,No,No,G,Gas,"€ 179,000  179000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,,
254,As new,4.0,Urban,85  m² square meters,15  m² square meters,Hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,A,Gas,"€ 370,000  370000 €",Brusselsesteenweg 690 9050  - Gentbrugge,Non flood zone,,28  m²  square meters,Yes
256,Good,3.0,Urban,118  m² square meters,40  m² square meters,USA installed,2.0,2.0,,2.0,,No,,Yes,No,B,Gas,"€ 349,000  349000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,9  m²  square meters,
257,Good,2.0,Isolated,121  m² square meters,45  m² square meters,Hyper equipped,2.0,2.0,1.0,2.0,Yes,No,,Yes,No,B,Gas,"€ 520,000  520000 €",Parvis Sainte-Alix 37 1150  - Woluwe-Saint-Pierre,Non flood zone,,6  m²  square meters,
258,Good,4.0,Urban,450  m² square meters,50  m² square meters,Installed,5.0,2.0,1.0,2.0,Yes,No,Yes,No,No,E,Fuel oil,"€ 615,000  615000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,1100  m²  square meters,,
259,As new,4.0,,339  m² square meters,40  m² square meters,Installed,5.0,2.0,,2.0,,,,No,No,B,Gas,"€ 645,000  645000 €",,Non flood zone,580  m²  square meters,13  m²  square meters,
260,To renovate,2.0,Urban,120  m² square meters,,Installed,2.0,2.0,1.0,2.0,Yes,No,,Yes,No,C,Gas,"€ 420,000  420000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,6  m²  square meters,
261,To be done up,2.0,,282  m² square meters,52  m² square meters,Installed,4.0,1.0,,2.0,Yes,,,,,C,Gas,"€ 439,000  439000 €",Dorpshart 10 2870  - Puurs,Non flood zone,,40  m²  square meters,Yes
262,As new,3.0,Urban,148  m² square meters,65  m² square meters,USA hyper equipped,3.0,2.0,,2.0,Yes,No,,Yes,No,B,Gas,"€ 450,000  450000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,,,33  m²  square meters,
263,To be done up,3.0,Urban,220  m² square meters,,Installed,3.0,2.0,1.0,3.0,Yes,No,,Yes,No,C,Gas,"€ 606,000  606000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,,
264,As new,2.0,Urban,140  m² square meters,55  m² square meters,USA hyper equipped,3.0,2.0,2.0,2.0,Yes,No,,Yes,No,A,Gas,"€ 595,000  595000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,13  m²  square meters,
279,Good,2.0,,60  m² square meters,24  m² square meters,Semi equipped,1.0,1.0,,1.0,,,Yes,,,E,Electric,"€ 150,000  150000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
280,To renovate,3.0,,123  m² square meters,17  m² square meters,Not installed,4.0,1.0,1.0,1.0,,No,,No,No,F,Gas,"Make an offer starting from  € 99,000  Make an offer starting from  99000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
288,To be done up,2.0,,76  m² square meters,28  m² square meters,Installed,2.0,1.0,,1.0,,,,,,B,Gas,"€ 195,000  195000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,Non flood zone,,2  m²  square meters,
289,Good,,Urban,41  m² square meters,25  m² square meters,Installed,1.0,1.0,1.0,1.0,,No,,Yes,No,F,Gas,"€ 195,000  195000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,,,,
290,Good,2.0,Urban,95  m² square meters,42  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 199,000  199000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,4  m²  square meters,
291,Just renovated,3.0,Urban,61  m² square meters,,Installed,2.0,1.0,,1.0,Yes,,,,,C,Electric,"€ 169,000  169000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,,
389,Good,2.0,,89  m² square meters,,Installed,2.0,1.0,,1.0,,,,Yes,,B,Gas,"€ 329,000  329000 €",Mechelsesteenweg 382 3020  - Herent,Non flood zone,,15  m²  square meters,
390,Good,3.0,Isolated,180  m² square meters,30  m² square meters,Hyper equipped,3.0,1.0,35.0,1.0,Yes,No,,No,No,G,Gas,"€ 425,000  425000 €",rue Antoine Breart 42 1060  - Saint-Gilles,Non flood zone,70  m²  square meters,,
398,To renovate,3.0,Urban,173  m² square meters,32  m² square meters,Semi equipped,3.0,1.0,,4.0,,No,,No,No,E,Gas,"Make an offer starting from  € 425,000  Make an offer starting from  425000 €",Avenue Fond Jean Rosy 17A 1330  - Rixensart,Non flood zone,333  m²  square meters,15  m²  square meters,
399,To be done up,4.0,"Living area (residential, urban or rural)",185  m² square meters,33  m² square meters,Installed,6.0,1.0,1.0,2.0,,No,,No,No,D,Gas,"Make an offer starting from  € 499,000  Make an offer starting from  499000 €",Avenue Fond Jean Rosy 17A 1330  - Rixensart,Non flood zone,206  m²  square meters,21  m²  square meters,
401,To renovate,2.0,Urban,1264  m² square meters,,Installed,8.0,4.0,,5.0,Yes,No,Yes,Yes,No,C,Gas,"€ 850,000  850000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,,
405,As new,2.0,Urban,16  m² square meters,,Semi equipped,1.0,1.0,,1.0,,,,Yes,,A,Gas,"€ 115,000  115000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,,
407,Good,2.0,,54  m² square meters,32  m² square meters,Installed,1.0,,1.0,1.0,,,,Yes,,B,Gas,"Make an offer starting from  € 189,000  Make an offer starting from  189000 €",Rue Pierre Henvard 2 4053  - Embourg,,,,
408,Good,2.0,Isolated,61  m² square meters,28  m² square meters,USA hyper equipped,1.0,1.0,1.0,1.0,Yes,No,,Yes,No,D,Electric,"€ 179,000  179000 €","Avenue des Cerisiers, 95 1200  - Woluwe-St-Lambert",,,4  m²  square meters,
409,Good,3.0,,87  m² square meters,,Installed,1.0,1.0,,2.0,,,,,,C,Gas,"€ 199,500  199500 €",Zuidlaan 2 9200  - Dendermonde,Non flood zone,,,
410,To renovate,2.0,,105  m² square meters,43  m² square meters,Semi equipped,3.0,1.0,,1.0,,,,,,D,Fuel oil,"€ 225,000  225000 €",Dr. Persoonslaan 15 b 2830  - Willebroek,Non flood zone,,8  m²  square meters,
412,To renovate,2.0,,105  m² square meters,43  m² square meters,Semi equipped,3.0,1.0,,1.0,,,,,,D,Fuel oil,"€ 225,000  225000 €",Dr. Persoonslaan 15 b 2830  - Willebroek,Non flood zone,,8  m²  square meters,
414,Good,2.0,,128  m² square meters,45  m² square meters,Installed,2.0,1.0,,2.0,Yes,,,Yes,,B,Gas,"€ 239,500  239500 €",Rue Pierre Henvard 2 4053  - Embourg,,,5  m²  square meters,
417,To be done up,,Isolated,98  m² square meters,29  m² square meters,Semi equipped,3.0,1.0,,1.0,,No,,Yes,No,G,Gas,"€ 285,000  285000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,22  m²  square meters,
418,Good,2.0,Countryside,105  m² square meters,40  m² square meters,USA hyper equipped,2.0,1.0,,1.0,Yes,No,,No,No,E,Gas,"€ 270,000  270000 €",Rue Potaerdenberg 31 1070  - Anderlecht,Non flood zone,,5  m²  square meters,
419,Good,2.0,,115  m² square meters,,Installed,2.0,1.0,,2.0,Yes,,,Yes,,C,Gas,"€ 350,000  350000 €",Mechelsesteenweg 382 3020  - Herent,Non flood zone,,12  m²  square meters,
454,As new,2.0,Isolated,90  m² square meters,33  m² square meters,Hyper equipped,2.0,2.0,2.0,1.0,,No,,Yes,No,C,Gas,"€ 395,000  395000 €",Rue du Page 59 bte 1 1050  - Ixelles,,,7  m²  square meters,
458,Good,2.0,,124  m² square meters,,Semi equipped,3.0,1.0,,1.0,Yes,,Yes,,,D,Electric,"€ 355,000  355000 €",Mechelsesteenweg 382 3020  - Herent,Non flood zone,,,
478,To be done up,2.0,Urban,234  m² square meters,31  m² square meters,,5.0,1.0,1.0,3.0,,,,No,No,F,Gas,"€ 350,000  350000 €",Rue Joseph Netzert 7-9 6700  - Arlon,,291  m²  square meters,9  m²  square meters,
479,To be done up,4.0,"Living area (residential, urban or rural)",140  m² square meters,21  m² square meters,USA installed,3.0,1.0,1.0,2.0,,No,,No,No,F,Electric,"€ 425,000  425000 €",Parklaan 59/1 1930  - Zaventem,Non flood zone,260  m²  square meters,24  m²  square meters,
480,To be done up,4.0,,180  m² square meters,32  m² square meters,Semi equipped,3.0,1.0,,2.0,Yes,,,,,F,Fuel oil,"€ 399,000  399000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,24  m²  square meters,
482,As new,4.0,,130  m² square meters,,Hyper equipped,2.0,1.0,,1.0,Yes,,,,,E,Fuel oil,"Make an offer starting from  € 295,000  Make an offer starting from  295000 €",Avenuedes Ardennes 7d 4500  - Huy,,1700  m²  square meters,100  m²  square meters,
489,Good,4.0,,157  m² square meters,43  m² square meters,Not installed,3.0,1.0,,2.0,Yes,,,Yes,,C,Fuel oil,"€ 439,000  439000 €",Oude Geldenaaksebaan 48 3360  - Bierbeek,Non flood zone,,32  m²  square meters,
491,To renovate,2.0,Urban,140  m² square meters,42  m² square meters,Semi equipped,3.0,1.0,,1.0,,No,,Yes,No,E,Fuel oil,"€ 449,000  449000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,,
495,Good,4.0,Isolated,165  m² square meters,44  m² square meters,Installed,4.0,1.0,,2.0,Yes,No,Yes,,,D,Gas,"€ 495,000  495000 €",Interleuvenlaan 66 3001  - Heverlee,Non flood zone,647  m²  square meters,,
497,Good,4.0,,220  m² square meters,,Installed,5.0,2.0,,2.0,Yes,,Yes,,,B,Fuel oil,"€ 585,000  585000 €","Roterijstraat, 202 8793  - Waregem",,,,
508,Good,4.0,Countryside,286  m² square meters,,Installed,5.0,3.0,1.0,2.0,Yes,No,Yes,,,D,Fuel oil,"€ 599,000  599000 €",rue des dominicains 4E 4000  - Liège,Non flood zone,1334  m²  square meters,,
511,Good,2.0,Urban,182  m² square meters,68  m² square meters,USA installed,4.0,1.0,,2.0,Yes,No,,Yes,No,B,Gas,"€ 545,000  545000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,,
